VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_min
1,2019-01-01 11:03:25,2019-01-01 11:03:25,1,10.2,1,N,35,35,1,30.0,0.0,0.5,6.15,0.0,0.3,36.95,,0.0
2,2019-01-01 17:24:51,2019-01-01 17:24:51,2,0.02,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-02 06:05:18,2019-01-02 06:05:18,1,26.2,1,N,39,145,1,85.0,0.0,0.5,0.0,0.0,0.3,85.8,,0.0
1,2019-01-02 07:14:37,2019-01-02 07:14:37,1,0.7,1,N,231,231,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,,0.0
2,2019-01-02 09:09:32,2019-01-02 09:09:32,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-02 11:35:49,2019-01-02 11:35:49,3,4.0,1,N,13,13,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8,,0.0
1,2019-01-02 11:25:14,2019-01-02 11:25:14,1,0.6,1,N,43,43,1,4.5,0.0,0.5,1.5,0.0,0.3,6.8,,0.0
2,2019-01-02 13:04:26,2019-01-02 13:04:26,6,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-02 00:00:00,2019-01-02 00:00:00,1,9.49,1,N,138,90,1,34.0,0.0,0.5,6.08,5.76,0.3,46.64,,0.0
2,2019-01-02 20:52:57,2019-01-02 20:52:57,1,2.35,1,N,264,264,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,,0.0
2,2019-01-02 20:01:39,2019-01-02 20:01:39,1,0.01,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-02 21:56:03,2019-01-02 21:56:03,1,0.01,5,N,264,264,2,63.0,0.0,0.0,0.0,0.0,0.0,63.0,,0.0
1,2019-01-03 06:25:18,2019-01-03 06:25:18,1,18.6,2,N,264,114,1,69.46,0.0,0.5,0.0,0.0,0.3,70.26,,0.0
1,2019-01-03 06:27:55,2019-01-03 06:27:55,1,21.5,2,N,132,13,1,69.46,0.0,0.5,0.0,0.0,0.3,70.26,,0.0
2,2019-01-03 06:37:26,2019-01-03 06:37:26,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
1,2019-01-03 09:23:56,2019-01-03 09:23:56,1,0.5,1,N,7,7,1,3.5,0.0,0.5,2.0,0.0,0.3,6.3,,0.0
1,2019-01-03 12:55:49,2019-01-03 12:55:49,1,1.6,1,N,234,234,1,10.0,0.0,0.5,1.5,0.0,0.3,12.3,,0.0
1,2019-01-03 13:27:16,2019-01-03 13:27:16,1,1.1,1,N,188,188,3,7.5,0.0,0.5,0.0,0.0,0.3,8.3,,0.0
1,2019-01-03 18:23:45,2019-01-03 18:23:45,1,19.6,2,N,231,132,1,70.8,0.0,0.5,0.0,0.0,0.3,71.6,,0.0
1,2019-01-03 20:05:54,2019-01-03 20:05:54,1,11.8,1,N,239,20,2,33.0,1.0,0.5,0.0,0.0,0.3,34.8,,0.0
1,2019-01-03 20:55:16,2019-01-03 20:55:16,1,1.3,1,N,170,170,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,0.0
2,2019-01-03 00:00:00,2019-01-03 00:00:00,2,2.13,1,N,163,236,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,0.0
2,2019-01-03 22:31:19,2019-01-03 22:31:19,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-03 00:01:16,2019-01-03 00:01:16,1,10.1,1,N,140,131,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,,0.0
1,2019-01-04 01:42:58,2019-01-04 01:42:58,1,4.0,1,N,229,229,1,13.5,0.5,0.5,2.95,0.0,0.3,17.75,,0.0
2,2019-01-04 01:14:17,2019-01-04 01:14:17,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
1,2019-01-04 11:01:33,2019-01-04 11:01:33,1,5.0,1,N,7,7,1,20.0,0.0,0.5,5.0,0.0,0.3,25.8,,0.0
2,2019-01-04 12:57:31,2019-01-04 12:57:31,5,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-04 19:54:17,2019-01-04 19:54:17,0,1.8,1,N,79,79,1,9.0,1.0,0.5,2.15,0.0,0.3,12.95,,0.0
1,2019-01-05 00:54:48,2019-01-05 00:54:48,1,2.9,1,N,144,144,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,,0.0
2,2019-01-05 00:02:25,2019-01-05 00:02:25,1,0.54,1,N,264,264,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,0.0
1,2019-01-05 01:00:41,2019-01-05 01:00:41,1,0.8,1,N,107,107,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,,0.0
1,2019-01-05 16:50:59,2019-01-05 16:50:59,1,0.3,1,N,107,107,1,3.0,0.0,0.5,0.75,0.0,0.3,4.55,,0.0
2,2019-01-05 16:43:28,2019-01-05 16:43:28,5,0.02,1,N,265,265,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-06 01:57:41,2019-01-06 01:57:41,1,2.8,1,N,50,50,1,10.5,0.5,0.5,1.5,0.0,0.3,13.3,,0.0
1,2019-01-06 03:11:23,2019-01-06 03:11:23,0,4.7,1,N,140,140,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,,0.0
